sentence_id,word,tag
0,তার,O
0,মৃত্যুর,O
0,দশ,O
0,দিন,O
0,"পর,",O
0,১১৫,O
0,কৃষ্ণাঙ্গ,O
0,উচ্চ,O
0,বিদ্যালয়ের,O
0,শিক্ষার্থীরা,O
0,তার,O
0,হত্যার,O
0,প্রতিবাদে,O
0,ম্যাককম্ব,B-LOC
0,এর,O
0,মাধ্যমে,O
0,মিছিল,O
0,করেছে।,O
1,ব্রাংম্যান,O
1,ডাম্পসন,O
1,১৪০০,O
1,সালে,O
1,আন্তর্জাতিক,B-GRP
1,রেড,I-GRP
1,ক্রস,I-GRP
1,ও,I-GRP
1,রেড,I-GRP
1,ক্রিসেন্ট,I-GRP
1,আন্দোলন,I-GRP
1,এর,O
1,স্বেচ্ছাসেবক,O
1,হিসেবে,O
1,শুরু,O
1,করেছিলেন।,O
2,রাজকীয়,O
2,বাসস্থান,O
2,থেকে,O
2,রাজ্যের,O
2,মন্দির,O
2,পর্যন্ত,O
2,স্বল্প,O
2,দূরত্ব,O
2,ভ্রমণ,O
2,"করে,",O
2,রাজা,O
2,মিছিলে,O
2,অনেক,O
2,ধারক,O
2,নিয়ে,O
2,পালকি,B-PROD
2,বসবেন।,O
3,তিনি,O
3,তৃতীয়,O
3,সহস্রাব্দে,O
3,গ্র্যান্ড,B-CW
3,ওলে,I-CW
3,অপ্রি,I-CW
3,এ,O
3,অন্তর্ভুক্ত,O
3,হওয়া,O
3,প্রথম,O
3,ব্যক্তি,O
3,হয়েছিলেন।,O
4,প্রায়,O
4,"১৮,০০০",O
4,এর,O
4,উচ্চতর,O
4,অনুপাত,O
4,দোআঁশ,B-PROD
4,মাটিতে,O
4,পরিমাপ,O
4,করা,O
4,হয়েছিল।,O
5,"ক্যাবলে,",O
5,সাবচ্যানেলটি,O
5,এক্সফিনিটি,B-CORP
5,চ্যানেল,O
5,৩,O
5,এ,O
5,পাওয়া,O
5,যায়।,O
6,বিশ,O
6,বছরেরও,O
6,বেশি,O
6,সময়,O
6,ধরে,O
6,"রচিত,",O
6,কবিতাটি,O
6,লেখা,O
6,হয়েছে,O
6,তেরজা,B-CW
6,রিমা,I-CW
6,।,O
7,১৫০৫০,O
7,-এর,O
7,দশকের,O
7,মাঝামাঝি,O
7,সময়ে,O
7,পার্টি,O
7,প্রতিষ্ঠার,O
7,সময়,O
7,ক্লার্ক,O
7,হয়ে,O
7,গেল,O
7,রিপাবলিকান,B-GRP
7,পার্টি,I-GRP
7,।,O
8,চলচ্চিত্রটির,O
8,হামসালেখা,B-PER
8,দ্বারা,O
8,সংগীত,O
8,স্কোর,O
8,ছিল।,O
9,রন,B-PER
9,ম্যাকগোভনি,I-PER
9,-,O
9,"বেস,",O
9,ব্যাকিং,O
9,ভোকাল,O
10,পরবর্তীতে,O
10,তিনি,O
10,এফসি,B-GRP
10,হ্যালিফ্যাক্স,I-GRP
10,টাউন,I-GRP
10,এ,O
10,বিচার,O
10,শুরু,O
10,করেন,O
10,কিন্তু,O
10,চুক্তি,O
10,করতে,O
10,ব্যর্থ,O
10,হন।,O
11,হারিকেনের,O
11,সাথে,O
11,যুক্ত,O
11,সর্বোচ্চ,O
11,বৃষ্টিপাত,O
11,ইয়র্ক,B-LOC
11,এর,O
11,কাছাকাছি,O
11,ছিল।,O
12,ল্যাসি,B-CW
12,বাসায়,I-CW
12,আসুন,I-CW
12,(কুকুর,O
12,কোলি),O
12,(রডি,O
12,ম্যাকডোয়াল),O
13,প্রতিযোগিতাটি,O
13,চায়না,B-CORP
13,সেন্ট্রাল,I-CORP
13,টেলিভিশন,I-CORP
13,এবং,O
13,অন্যান্য,O
13,কয়েকটি,O
13,আন্তর্জাতিক,O
13,চ্যানেলে,O
13,সম্প্রচারিত,O
13,হয়েছিল।,O
14,স্থাপনাটি,O
14,হোটেল,O
14,হিসেবেও,O
14,কাজ,O
14,করে,O
14,যেখানে,O
14,ভবনের,O
14,পিছনের,O
14,দেয়ালের,O
14,বিপরীতে,O
14,দুটি,O
14,লম্বা,O
14,টেবিল,O
14,এবং,O
14,নীচের,O
14,জায়গাটি,O
14,নিকেল,B-PROD
14,এর,O
14,জন্য,O
14,ভাড়া,O
14,দেওয়া,O
14,হয়েছিল।,O
15,সাম্প্রতিক,O
15,দশকগুলিতে,O
15,একটি,O
15,ছোট,O
15,স্বাধীন,O
15,সুবিধার,O
15,দোকান,O
15,এবং,O
15,একটি,O
15,ক্রিসলার,B-CORP
15,ডিলারশিপ,O
15,"ছিল,",O
15,যার,O
15,কোনটিই,O
15,আজ,O
15,নেই।,O
16,তার,O
16,স্থলাভিষিক্ত,O
16,হন,O
16,তার,O
16,পুত্র,O
16,সাইপ্রাসের,B-PER
16,দ্বিতীয়,I-PER
16,পিটার,I-PER
16,।,O
17,ব্লুম,O
17,যখন,O
17,বিজয়ী,O
17,হয়েছিল,O
17,তখন,O
17,মস্কো,B-LOC
17,এ,O
17,অপারেশনের,O
17,জন্য,O
17,নির্মূল,O
17,দল,O
17,প্রস্তুত,O
17,"করেছিল,",O
17,যা,O
17,শেষ,O
17,পর্যন্ত,O
17,ঘটেনি।,O
18,এটি,O
18,একটি,O
18,মোবাইল,B-CW
18,খেলা,I-CW
18,এবং,O
18,পণ্যদ্রব্য,O
18,পেয়েছে।,O
19,বাক্যটি,O
19,সাধারণত,O
19,সোরেন,B-PER
19,কিয়ের্কেগার্ড,I-PER
19,কে,O
19,দায়ী,O
19,করা,O
19,হয়;,O
19,"যাইহোক,",O
19,তিনি,O
19,কখনই,O
19,এই,O
19,শব্দটি,O
19,ব্যবহার,O
19,"করেননি,",O
19,কারণ,O
19,তিনি,O
19,একটি,O
19,গুণগত,O
19,লিপ,O
19,উল্লেখ,O
19,করেছিলেন।,O
20,শিক্ষার,O
20,"দ্বারা,",O
20,তিনি,O
20,অসলো,B-GRP
20,বিশ্ববিদ্যালয়,I-GRP
20,থেকে,O
20,একজন,O
20,রাষ্ট্রবিজ্ঞানী।,O
21,যদিও,O
21,কিছু,O
21,ছোট,O
21,ছোট,O
21,স্যাঁতসেঁতে,O
21,প্যাচ,O
21,উপস্থিত,O
21,"ছিল,",O
21,বৃষ্টির,B-PROD
21,টায়ার,I-PROD
21,কেউ,O
21,ব্যবহার,O
21,করেনি,O
21,কিন্তু,O
